model,pn_num,error_type,text,gold_context,pred_context,category
mistral,16,false_positive,soccer game,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,16,false_positive,passing out feeling,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,16,false_positive,adderall abuse,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,16,false_positive,adderrall use before recent soccer game,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,16,false_positive,palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,16,false_negative,lightheaded,,"['palpitations', 'chest pressure', 'passing out feeling', 'adderall abuse', 'soccer game', 'adderral",other
mistral,16,false_negative,heart pounding or heart racing,,"['palpitations', 'chest pressure', 'passing out feeling', 'adderall abuse', 'soccer game', 'adderral",complex_phrasing
mistral,16,false_negative,shortness of breath,,"['palpitations', 'chest pressure', 'passing out feeling', 'adderall abuse', 'soccer game', 'adderral",complex_phrasing
mistral,41,false_positive,pressure on chest during attacks,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,41,false_negative,chest pressure,,"['heart pounding', 'shortness of breath', 'pressure on chest during attacks']",other
mistral,41,false_negative,lightheaded,,"['heart pounding', 'shortness of breath', 'pressure on chest during attacks']",other
mistral,46,false_positive,anxiety,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,46,false_positive,light headedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,46,false_positive,nervousness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,46,false_positive,palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,46,false_negative,chest pressure,,"['palpitations', 'light headedness', 'shortness of breath', 'anxiety', 'nervousness']",other
mistral,46,false_negative,lightheaded,,"['palpitations', 'light headedness', 'shortness of breath', 'anxiety', 'nervousness']",other
mistral,46,false_negative,heart pounding or heart racing,,"['palpitations', 'light headedness', 'shortness of breath', 'anxiety', 'nervousness']",complex_phrasing
mistral,82,false_positive,light headedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,82,false_positive,heart racing,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,82,false_negative,chest pressure,,"['heart racing', 'heart pounding', 'light headedness', 'shortness of breath']",other
mistral,82,false_negative,lightheaded,,"['heart racing', 'heart pounding', 'light headedness', 'shortness of breath']",other
