feature_num,feature_text,is_symptom
0,Family-history-of-MI-OR-Family-history-of-myocardial-infarction,False
1,Family-history-of-thyroid-disorder,False
2,Chest-pressure,True
3,Intermittent-symptoms,False
4,Lightheaded,True
5,No-hair-changes-OR-no-nail-changes-OR-no-temperature-intolerance,False
6,Adderall-use,False
7,Shortness-of-breath,True
8,Caffeine-use,False
9,heart-pounding-OR-heart-racing,True
10,Few-months-duration,False
11,17-year,False
12,Male,False
100,No-vaginal-discharge,False
101,Weight-loss,True
102,Not-sexually-active,False
103,Prior-episodes-of-diarrhea,False
104,20-year,False
105,No-bloody-bowel-movements,False
106,Recurrent-bouts-over-past-6-months,False
107,Right-sided-LQ-abdominal-pain-OR-Right-lower-quadrant-abdominal-pain,True
108,No-urinary-symptoms,False
109,Diminished-appetite,True
110,Normal-LMP-2-weeks-ago-OR-Normal-last-menstrual-period-2-weeks-ago,False
111,8-to-10-hours-of-acute-pain,False
112,Female,False
200,Prior-normal-periods,False
201,Last-Pap-smear-I-year-ago,False
202,IUD,False
203,Sexually-active,False
204,Vaginal-dryness,True
205,Irregular-menses,True
206,Recent-nausea-vomiting-OR-Recent-flulike-symptoms,True
207,No-premenstrual-symptoms,False
208,Female,False
209,Stress,False
210,LMP-2-months-ago-or-Last-menstrual-period-2-months-ago,False
211,Hot-flashes,True
212,Irregular-flow-OR-Irregular-frequency-OR-Irregular-intervals,True
213,Onset-3-years-ago,False
214,Heavy-sweating,True
215,Sleep-disturbance-OR-Early-awakenings,True
216,44-year,False
300,FHx-of-PUD-OR-Family-history-of-peptic-ulcer-disease,False
301,Epigastric-discomfort,True
302,Darker-bowel-movements,True
303,NSAID-use-OR-Nonsteroidal-anti-inflammatory-drug-use,False
304,burning-OR-gnawing-OR-burning-and-gnawing,True
305,Post-prandial-bloating-OR-fullness-with-meals,True
306,getting-worse-OR-progressive-OR-symptoms-now-daily,False
307,2-to-3-beers-a-week,False
308,Male,False
309,duration-2-months,False
310,Awakens-at-night,True
311,No-blood-in-stool,False
312,Intermittent,False
313,Minimal-to-no-change-with-Tums,False
314,Nausea,True
315,35-year,False
400,Lack-of-other-thyroid-symptoms,True
401,anxious-OR-nervous,True
402,Stress-due-to-caring-for-elderly-parents,False
403,Heavy-caffeine-use,False
404,No-depressed-mood,False
405,Weight-stable,True
406,Insomnia,True
407,Female,False
408,Decreased-appetite,True
409,45-year,False
500,Onset-5-years-ago,False
501,Female,False
502,No-caffeine-use,False
503,Associated-SOB-OR-Associated-shortness-of-breath,True
504,Episodes-of-heart-racing,True
505,Recent-visit-to-emergency-department-with-negative-workup,False
506,No-chest-pain,False
507,No-illicit-drug-use,False
508,Associated-nausea,True
509,Increased-frequency-recently,False
510,Associated-feeling-of-impending-doom,True
511,Episodes-last-15-to-30-minutes,False
512,Associated-throat-tightness,True
513,Feels-hot-OR-Feels-clammy,True
514,Episode-of-hand-numbness-OR-Episode-of-finger-numbness,True
515,Fatigue-OR-Difficulty-concentrating,True
516,Increased-stress,False
517,26-year,False
600,Subjective-fevers,True
601,Male,False
602,17-year,False
603,Recent-upper-respiratory-symptoms,True
604,Worse-with-deep-breath-OR-pleuritic,True
605,Exercise-induced-asthma,False
606,Chest-pain,True
607,Duration-x-1-day,False
608,No-shortness-of-breath,False
609,Recent-heavy-lifting-at-work-OR-recent-rock-climbing,False
610,No-relief-with-asthma-inhaler,False
611,Sharp-OR-stabbing-OR-7-to-8-out-of-10-on-pain-scale,True
700,Female,False
701,Weight-Gain,True
702,heavy-periods-OR-irregular-periods,True
703,Last-menstrual-period-2-months-ago,False
704,Unprotected-Sex,False
705,Fatigue,True
706,Infertility-HX-OR-Infertility-history,False
707,35-year,False
708,symptoms-for-6-months,False
800,Increased-appetite,True
801,Son-died-3-weeks-ago,False
802,Female,False
803,Auditory-hallucination-once,True
804,tossing-and-turning,True
805,67-year,False
806,Difficulty-falling-asleep,True
807,Hallucinations-after-taking-Ambien,True
808,duration-3-weeks,False
809,Unsuccessful-napping,True
810,Sleeping-medication-ineffective,False
811,Diminished-energy-OR-feeling-drained,True
812,loss-of-interest,True
813,Visual-hallucination-once,True
814,FHx-of-depression-OR-Family-history-of-depression,False
815,Early-wakening,True
816,No-suicidal-ideations,False
817,Difficulty-with-sleep,True
900,No-relief-with-Motrin-OR-no-relief-with-tylenol,False
901,20-year,False
902,1-day-duration-OR-2-days-duration,False
903,Myalgias,True
904,Global-headache-OR-diffuse-headache,True
905,Neck-pain,True
906,Vomiting,True
907,No-rash,False
908,Nausea,True
909,viral-symptoms-OR-rhinorrhea-OR-scratchy-throat,True
910,Shares-an-apartment,False
911,Meningococcal-vaccine-status-unknown,False
912,Family-history-of-migraines,False
913,Female,False
914,Photophobia,True
915,No-known-illness-contacts,False
916,Subjective-fever,True
