model,note_id,prediction_sample,num_predictions
mistral,98f695fb-eddc-4aa6-b0ab-1de01cafaca8,"['extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history', 'do not include negated symptoms (e.g., ""denies chest pain"")']",23
mistral,0baf2795-35ec-4bcf-a71f-a2c4d5bb4567,"['extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history', 'do not include negated symptoms (e.g., ""denies chest pain"")']",23
mistral,8f2ef59e-67ed-4419-a40c-ba1bbf1d806e,"['cough', 'whistling sound when breathing', 'chest pain']",4
mistral,ce6f81d2-6445-43d5-920a-3354f8a48777,"['llowing', 'debilitating throat pain', 'feeling exhausted']",5
mistral,a923a352-3b48-4122-87e6-68fc0d1ff7c4,"['improving chest discomfort', 'whistling sound when breathing', 'productive cough']",6
mistral,28863440-bc6d-4abb-bbaa-8c3d7304672f,"['moderate persistent cough', 'tiredness', 'shaking chills']",6
mistral,a7bd1337-616d-44e0-ae64-b025d2625adc,"['stion', 'asthenia', 'improving cough']",4
mistral,aed7ca01-2af3-4799-ac88-490d5515908e,"['extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history', 'do not include negated symptoms (e.g., ""denies chest pain"")']",23
mistral,2efab6fe-0867-4655-a942-fe3d0ab10e1a,"['extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history', 'do not include negated symptoms (e.g., ""denies chest pain"")']",11
mistral,f9463ea7-72c8-41ff-bbc7-aa65e1ba0e1b,"['erate wheezing', 'progressive cough', 'patient wrapped in blanket despite warm room (indicates discomfort, possibly related to fever or cough)']",3
mistral,623e7e66-9ff8-4f9e-848f-a6180faa8518,"['extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history', 'do not include negated symptoms (e.g., ""denies chest pain"")']",23
mistral,06981fd3-9505-4108-b03a-8b8797927756,"['breathing', 'improving breathlessness', 'decreased appetite']",5
mistral,7f93f736-8d60-40e3-8971-f420c4ab893f,"['extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history', 'do not include negated symptoms (e.g., ""denies chest pain"")']",11
mistral,358e903e-180e-403d-b932-8338c86f10a5,"['extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history', 'do not include negated symptoms (e.g., ""denies chest pain"")']",11
gemma,eaf52c8f-0da7-481a-bf26-5ea13dba9137,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,64fce315-68f3-4ea3-b18b-5f96229c199c,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,a8be31e2-ef8e-42e3-a6ec-4c3cf2c94943,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",28
gemma,98f695fb-eddc-4aa6-b0ab-1de01cafaca8,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",26
gemma,8aeb3840-1318-4c0e-b60f-c3de9a120ab0,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,ca52d992-c882-4c5d-bf2e-1689d6d7b0aa,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",15
